age,income,savings_rate,risk_score,test_score,education,gender
30.5,60841.65,0.3,5.9,74.3,Master's,Non-binary
47.8,56205,0.22,15.7,83.1,Master's,Male
35.7,30739.91,0.36,4.8,75.3,Master's,Male
43.5,20656.1,0.11,10.5,45.7,High School,Female
39.8,36019.31,0.14,12.3,59.9,High School,Male
26.5,72827.79,0.14,6.8,55.5,High School,Female
28.6,12158.71,0.3,11.6,66.7,Master's,Female
45.3,87435.95,0.15,28,64.1,Bachelor's,Male
31.7,12533.56,0.08,15.6,53,High School,Male
31,3498.84,0.15,4.4,56.4,High School,Female
25.4,13419.18,0.11,8.2,50.1,High School,Female
39.2,19306.59,0.09,20.8,57.6,High School,Male
55.6,8525.81,0.31,4.5,76.4,Master's,Female
24.3,9692.05,0.22,11.6,67.1,Bachelor's,Male
35.2,183329.5,0.39,13.8,78.6,Master's,Non-binary
49.1,76711.83,0.16,6,66,Bachelor's,Male
34.2,13019.2,0.13,12.6,57.1,High School,Female
39.5,13950.05,0.24,14.4,76.1,Master's,Female
24.4,16085.48,0.25,0.3,81.2,Master's,Female
39.3,31585.89,0.21,4.1,71.5,Bachelor's,Female
33.1,51499.27,0.27,6.3,83.3,Master's,Male
44.9,1962.41,0.14,9.6,69.9,Bachelor's,Male
46.9,13056.06,0.24,15.9,76.4,Bachelor's,Male
60.9,8055.26,0.17,15,69.2,Bachelor's,Male
40.8,14537.55,0.15,12.1,59.7,High School,Female
38.3,4492.4,0.05,9.6,53.5,High School,Male
36.9,9987.34,0.1,19.5,55.1,High School,Male
31.5,27828.07,0.11,2.8,73.5,Bachelor's,Non-binary
38.4,12817.42,0.09,13.5,48.8,High School,Female
32,1628.4,0.21,3.4,68.8,Bachelor's,Female
36.7,93730.88,0.41,6.5,89.9,PhD,Non-binary
48.2,11945.62,0.13,7.3,53.1,High School,Male
24.9,71126.34,0.14,21.3,73,Bachelor's,Male
46.4,27435.33,0.21,1.4,80.5,Master's,Female
48.2,28058.34,0.1,12.2,52.2,High School,Female
33.8,733.59,0.15,21,50.2,High School,Male
13.8,43298.05,0.08,9.7,50.3,High School,Female
28.9,45230.25,0.14,29.4,59.6,High School,Male
48,161218.98,0.41,11.5,89,PhD,Male
34.8,54582.47,0.4,6.1,84.2,Master's,Female
25,13295.13,0.11,7.6,66.7,Bachelor's,Female
30,100756.21,0.39,4.5,75,Master's,Female
43.4,39146.17,0.39,5.1,75.6,Master's,Male
40.5,55110.55,0.09,8.3,56.2,High School,Female
32.6,23791.89,0.29,20.8,83.3,Master's,Male
31.3,41399.61,0.24,26.1,73.3,Bachelor's,Male
31.1,79233.94,0.21,0.8,82.5,Master's,Female
25.8,37076.51,0.28,22,75.5,Master's,Non-binary
51.2,36146.72,0.14,6.1,50.6,High School,Female
31.8,3383.59,0.07,6.5,58.7,High School,Female
47.2,8992.71,0.13,3.6,55.9,High School,Female
50.2,10867.22,0.17,6,76.9,Bachelor's,Female
45,76149.64,0.29,8.5,80.5,Master's,Male
30.7,195468.95,0.27,23,76,Master's,Male
39,25797.12,0.14,26.2,62.6,High School,Male
34.8,109755.77,0.16,12.6,73.2,Bachelor's,Male
26,347.84,0.22,12.7,70.7,Bachelor's,Female
38.2,14966.09,0.06,39.7,51.4,High School,Male
23.2,5800.42,0.06,19,56.7,High School,Male
46.9,2615.88,0.07,18.3,63.3,High School,Male
30.4,28118.8,0.54,13.1,84.7,PhD,Female
37,10247.35,0.06,4.7,56.8,High School,Male
37.8,37686.15,0.17,5.1,64.3,Bachelor's,Female
32.4,72397.73,0.27,26.3,82.6,Master's,Male
40.9,41248.16,0.1,13.1,59.6,High School,Male
30.3,31821.12,0.39,3,82.9,PhD,Female
43.7,50292.66,0.45,13.6,82.8,PhD,Female
21.5,39657.01,0.13,13.9,49.8,High School,Male
36.3,19666.09,0.15,16.4,71.3,Bachelor's,Female
54.4,531.27,0.1,7.2,62.8,High School,Female
25,4219.33,0.12,37.7,61.9,High School,Male
28.2,1134.49,0.09,3.5,57,High School,Female
40.1,30361.7,0.24,10.4,69.1,Bachelor's,Female
36.8,25599.45,0.16,13.4,67.5,Bachelor's,Female
38.5,26969.96,0.11,6.8,53.1,High School,Female
39.9,7013.54,0.09,10.6,53.8,High School,Female
41.3,85872.96,0.36,7.1,83.5,PhD,Female
46.1,28099.39,0.05,7.4,53.6,High School,Female
39.1,2946.68,0.14,9,55.1,High School,Female
32.6,42075.31,0.24,5,63.7,Bachelor's,Female
41.7,173852.21,0.54,15.8,90.5,PhD,Female
54,8259.06,0.13,8.7,60.7,High School,Female
33.7,54310.09,0.16,22.9,68.8,Bachelor's,Male
25.3,100203.08,0.31,13.6,81.1,Master's,Female
46.1,9030.48,0.09,15.7,57.6,High School,Female
33.8,55581.82,0.3,12.1,78.1,Master's,Male
13.3,13617.12,0.08,2,61,High School,Female
43.5,20368.87,0.2,25.6,67.2,Bachelor's,Male
29.6,140777.99,0.16,24.7,70.3,Bachelor's,Male
34.1,34475.45,0.2,3.6,68.7,Bachelor's,Female
38.3,66940.86,0.07,19.7,52.1,High School,Male
36.9,44277.44,0.28,4.2,75.9,Master's,Female
42.1,2999.33,0.09,11.9,51.6,High School,Female
30.6,267.71,0.12,9.6,54.1,High School,Female
40.1,4270.9,0.07,3.1,53.5,High School,Male
32.4,97346.91,0.24,14.8,68,Bachelor's,Male
42.4,1662.36,0.11,9.2,68.6,Bachelor's,Female
41.2,17505.49,0.05,18.7,54.7,High School,Non-binary
25.6,11709.03,0.11,9.4,71.4,Bachelor's,Female
45.9,18856.76,0.08,22.2,54.7,High School,Male
29.6,10136.21,0.24,6.9,67.5,Bachelor's,Female
43.1,8885.39,0.13,12.8,55.3,High School,Female
38.7,8128.43,0.13,13,62.1,Bachelor's,Female
53.4,49092.74,0.06,9.7,52.6,High School,Male
32.8,111697.34,0.36,8.2,77.3,PhD,Female
31.5,8029.12,0.1,4.2,52.3,High School,Female
34.8,16972.45,0.13,17.9,54.3,High School,Non-binary
32,7493.11,0.09,14.5,54.3,High School,Male
43,91079.08,0.36,1.9,91.3,PhD,Female
18.8,12038.39,0.33,5.5,76.6,Master's,Female
24.5,52135.5,0.14,11.9,53.1,High School,Male
24.3,8804.37,0.2,13.2,64.3,Bachelor's,Female
44.5,62612.31,0.36,7.1,81.9,Master's,Female
52.1,21457.38,0.2,11.2,67.2,Bachelor's,Male
34,4066.52,0.25,8.2,72.4,Bachelor's,Male
33.3,13796.69,0.14,5.8,59.5,High School,Female
35.7,15132.31,0.11,14.6,47.7,High School,Male
46.6,46516.11,0.37,4.7,76.9,Master's,Female
25.7,326962,0.49,26.3,90.9,PhD,Male
37.4,522.66,0.22,2,71.2,Bachelor's,Female
44.8,52955.71,0.15,11.8,57.7,High School,Male
40,4667.61,0.14,3.3,52.1,High School,Female
36.9,9423.65,0.4,15.9,78.2,Master's,Non-binary
45,78995.42,0.32,14.4,83.6,Master's,Non-binary
8,64253.26,0.32,7.5,83.7,Master's,Female
41.8,21548.98,0.34,10.3,76.9,Master's,Male
28.5,31414.72,0.21,5,74.3,Bachelor's,Female
16.7,1104.97,0.12,12.9,56.3,High School,Male
40.1,15626.41,0.14,12.7,53.7,High School,Male
48.7,7150.15,0.25,3.4,79.9,Master's,Male
33.6,47902.86,0.16,17.8,67.8,Bachelor's,Male
44.5,17441.95,0.15,2.3,51.5,High School,Female
51.1,35372.4,0.11,9.1,51.9,High School,Female
48.1,4520.42,0.19,12.9,70,Bachelor's,Male
51.4,59811.59,0.09,7.9,51,High School,Male
42.4,14908.62,0.12,22.8,59.1,High School,Non-binary
35.8,75414.57,0.2,21.3,69.5,Bachelor's,Male
19,53.41,0.14,9.9,71,Bachelor's,Male
32.5,52042.57,0.2,19,74.7,Bachelor's,Male
26.6,13011.75,0.08,3.8,50,High School,Female
56.7,5553.99,0.37,15.8,77,Master's,Female
33.2,12341.04,0.12,24.6,56.1,High School,Male
36.2,3019.47,0.05,22.3,49.8,High School,Male
40.5,726.96,0.31,13.8,77,Master's,Female
35.4,101163.31,0.18,8.5,70.4,Bachelor's,Female
52,40152.17,0.32,14,76.6,Master's,Male
28.8,10993.22,0.11,9.2,69.9,Bachelor's,Non-binary
36.9,36432.62,0.23,46.6,71.1,Bachelor's,Male
27.6,20975.63,0.13,12.6,51.7,High School,Male
21.8,17860.63,0.12,6.2,48.5,High School,Female
28.9,3431,0.11,7.4,61.9,High School,Male
34.6,19296.21,0.13,14.4,57.8,High School,Female
30.7,83167.82,0.5,19.7,83.2,PhD,Male
28.1,23039.93,0.13,9.3,48,High School,Male
20.9,9391.19,0.39,5.1,90.2,Master's,Non-binary
34.2,37417.01,0.11,4.8,67.4,Bachelor's,Male
20,6242.42,0.32,8.9,82.6,Master's,Female
42.6,82328.33,0.11,16.6,64.9,Bachelor's,Male
35.8,56110.13,0.14,12.1,73.3,Bachelor's,Male
20.4,79696.01,0.19,22.9,71,Bachelor's,Male
31.9,7261.61,0.11,7.9,57.4,High School,Female
27.5,68290.13,0.27,31.1,76.3,Master's,Male
38.2,338.5,0.08,2.4,58.1,High School,Female
48.4,9659.95,0.12,14.2,59,High School,Male
16.2,56465.11,0.17,10.9,70.9,Bachelor's,Non-binary
36.2,83620.88,0.09,5.1,51.1,High School,Male
33.4,33157.07,0.45,4.2,76.7,PhD,Female
41.7,40959.99,0.37,14.7,82.3,PhD,Female
37.1,42867.64,0.43,10.4,93,PhD,Female
27.5,1014.64,0.13,16.8,51.9,High School,Female
31.8,16740.81,0.15,4.1,64.8,High School,Female
27,69731.52,0.43,6.4,82.8,PhD,Female
45.8,6509.67,0.16,8.4,66.6,Bachelor's,Male
35.2,7242.04,0.46,19,87.7,PhD,Male
54,164403.68,0.47,6.5,85.7,PhD,Female
34.4,4625.58,0.31,15.4,85.6,Master's,Female
27.9,8075.18,0.08,3.9,54.1,High School,Female
19.9,21733.16,0.06,33.5,50.4,High School,Male
17,118191.58,0.32,26.6,79.8,Master's,Male
19.2,23868.1,0.13,24.7,51.7,High School,Male
37.7,5191.07,0.14,3.6,57.2,High School,Female
40.1,1973.73,0.16,17,66.7,Bachelor's,Male
19.2,104284.56,0.54,21.1,90.5,PhD,Male
44,144309.4,0.1,40.2,69.7,Bachelor's,Male
30.2,4323.33,0.22,11.5,69.3,Bachelor's,Male
36.5,16523.24,0.09,2.4,50.7,High School,Female
51.1,43917.34,0.24,13.9,68.8,Bachelor's,Male
44,3965.71,0.51,13.2,79.2,PhD,Female
32.3,21281.59,0.09,25.4,60.1,High School,Male
26.1,47913.73,0.22,19.1,70.9,Bachelor's,Male
13.5,44912.8,0.39,17.7,74.6,Master's,Male
27.8,82535.56,0.31,9,82,Master's,Male
32.9,2948.94,0.19,24,63.8,Bachelor's,Male
25.1,92246.98,0.22,15.3,80.5,Master's,Male
33.7,2853.91,0.07,4.8,52.8,High School,Female
35.8,12171.71,0.1,16.3,54.5,High School,Male
32.8,27022.04,0.37,4,77.1,Master's,Female
28.5,4133.59,0.31,9.1,80,Master's,Female
36.7,117824.5,0.31,17.9,88.4,Master's,Female
39.4,5598.82,0.54,27.2,87.4,PhD,Male
24.1,16888.67,0.11,8.6,63.4,Bachelor's,Male
49.1,21282.46,0.25,21.5,70.5,Bachelor's,Male
34,249946.25,0.23,13.9,76.8,Master's,Male
35.2,167.85,0.2,15.2,70.4,Bachelor's,Non-binary
42.1,44433.53,0.3,14.7,80.4,Master's,Male
37.3,109566.99,0.26,14.1,82,Master's,Male
44.5,15142.27,0.22,4.4,82.5,Master's,Female
37.9,12667.3,0.1,16,59.2,High School,Female
28.9,1208.25,0.08,6.6,57,High School,Female
38.6,42615.04,0.07,14.3,53.6,High School,Male
23.6,25299.76,0.25,8.9,67.6,Bachelor's,Male
36.1,21000.99,0.09,9.3,59.3,High School,Female
34.7,85797.09,0.22,28.4,70.6,Bachelor's,Male
32.9,7238.79,0.16,17.8,68.5,Bachelor's,Male
33.7,12369.65,0.1,47.6,56.6,High School,Male
16.2,24200.77,0.12,8.3,66.7,Bachelor's,Male
29.5,71551.18,0.14,30.8,60.5,High School,Male
35.9,15870.38,0.09,13.3,50.3,High School,Male
36.6,50448.27,0.32,4.2,90.3,Master's,Female
24.7,13514.2,0.07,11.6,49.6,High School,Female
47.7,408.35,0.09,12.3,48.5,High School,Female
26.3,56989.91,0.19,25.2,71.7,Bachelor's,Male
44.7,111562.12,0.32,16.4,78.4,Master's,Male
39.3,13036.22,0.11,17,52.6,High School,Male
28.5,10877.97,0.1,8.3,74,Bachelor's,Female
52.8,387.8,0.11,16.8,51.4,High School,Female
23.1,4599.75,0.1,6.2,58.4,High School,Male
44.2,16741.68,0.18,15.1,78.5,Bachelor's,Female
45,10489.06,0.1,28.1,73.7,Bachelor's,Male
28.3,29077.85,0.22,7.5,70.7,Bachelor's,Female
48.9,77601.12,0.38,9.2,77.7,Master's,Female
32.5,17716.06,0.4,6,81.8,PhD,Female
37.9,25919.41,0.19,7.5,67.1,Bachelor's,Female
37.6,1470.13,0.07,8.5,55.8,High School,Female
33.7,20226.5,0.26,14.3,85.3,Master's,Male
43.1,25643.83,0.14,1.4,59.7,High School,Female
42.9,8015.05,0.23,15.7,77.6,Bachelor's,Male
17.5,18184.35,0.14,24.1,58,High School,Female
48,20376.45,0.08,14.6,53.9,High School,Female
18.4,19943.71,0.38,14,86.8,PhD,Female
45.3,58234.15,0.33,10.5,83.2,Master's,Male
46.3,11994.75,0.16,4.9,73.1,Bachelor's,Female
24.1,120107.36,0.2,16.5,74,Bachelor's,Female
30.9,23229.28,0.12,18.4,52.2,High School,Female
23.9,12003.4,0.06,21.1,57.1,High School,Male
32.9,5560.86,0.1,12.2,61.5,High School,Male
31.9,26768.84,0.2,23.4,68,Bachelor's,Male
42.8,26339.28,0.24,24.7,74.3,Master's,Male
48.1,76789.65,0.16,11.8,64,Bachelor's,Female
49,1547.17,0.1,6.8,50.4,High School,Male
29.4,28573.71,0.41,19.3,83.5,PhD,Non-binary
32.9,164375.96,0.37,24.1,82.9,Master's,Male
18.2,7614.64,0.2,34.1,65.5,Bachelor's,Male
26.9,22217.81,0.2,8.5,74.9,Bachelor's,Female
44.6,4088.96,0.15,12.7,69.5,Bachelor's,Female
51.2,26055.31,0.13,25.9,56.4,High School,Male
22.7,46626.35,0.08,14,56.6,High School,Female
29.1,75863.73,0.34,5.4,77.1,Master's,Female
34.7,49533.79,0.07,4.7,54.2,High School,Male
37.8,37822.5,0.09,6.4,62.2,High School,Non-binary
26.9,36211.78,0.1,6.9,55.4,High School,Non-binary
39.2,14834.11,0.1,13.3,62.2,High School,Female
30.3,148628.58,0.34,6.7,81.9,Master's,Male
34.9,66869.73,0.27,14.5,83.7,Master's,Female
40.5,62032.15,0.12,14.5,70.3,Bachelor's,Male
35.1,23951.47,0.08,10.7,55.7,High School,Male
30.6,136719.19,0.14,24.4,65.9,Bachelor's,Male
33.9,517.11,0.18,38.6,68.8,Bachelor's,Male
34.1,7370.64,0.09,6.5,44.1,High School,Female
31.3,67825.68,0.18,8.4,73.8,Bachelor's,Female
32.4,2382.9,0.15,5.4,55.9,High School,Female
51,43429.12,0.16,14.8,67.8,Bachelor's,Male
40.6,73795.9,0.13,26.2,66,Bachelor's,Male
32,14701.01,0.08,23.6,62.3,High School,Male
42,14384.68,0.08,14.3,55,High School,Non-binary
31.7,121651.62,0.15,4.7,70.1,Bachelor's,Male
46.7,7310.73,0.16,5,71.9,Bachelor's,Female
38.7,10287.2,0.22,2.6,82.7,Master's,Female
33.9,61798.09,0.24,15,70.1,Bachelor's,Male
39.5,6863.8,0.09,9.9,50.8,High School,Female
19.3,30441.55,0.06,3.8,54.6,High School,Male
23.7,51888.62,0.15,7.7,68.2,Bachelor's,Female
23.1,18011.79,0.1,14.1,54.2,High School,Female
36.4,215782.46,0.17,41.6,76,Bachelor's,Male
52.3,168568.91,0.4,17.6,86.2,PhD,Male
57.3,13568.17,0.1,7.2,67.7,Bachelor's,Female
41.4,4280.94,0.13,6.4,50.7,High School,Female
40,12768.41,0.11,9.1,66.8,Bachelor's,Male
17,25949.34,0.14,7.4,73.7,Bachelor's,Female
29.6,75424.98,0.17,6.3,68.8,Bachelor's,Female
27.1,9035.64,0.54,2.5,80.8,PhD,Female
28.8,9270.07,0.07,24.7,50.8,High School,Male
33.3,10454.07,0.48,3.6,86.9,PhD,Female
30.3,62931.75,0.37,17.6,83.1,PhD,Female
15.2,6807.32,0.14,8.6,61.3,High School,Male
42.5,65525.45,0.14,26.2,55.3,High School,Male
24.3,43819.33,0.07,8.7,51.6,High School,Non-binary
37.4,11994.12,0.1,8.3,49.1,High School,Male
55.7,18803.4,0.07,6.1,60.8,High School,Female
25.8,64561.65,0.2,8.2,70.1,Bachelor's,Male
9.7,19007.12,0.06,13.8,53,High School,Male
32.1,5123.02,0.15,17.5,54.6,High School,Female
46,36487.03,0.21,8.9,82.2,Master's,Male
54.6,2435.49,0.13,3.4,54.5,High School,Female
22.7,334065.12,0.28,24.4,84.8,Master's,Male
40,3411.41,0.06,16.7,49.1,High School,Female
30.3,59921.85,0.14,19.8,50,High School,Male
33.9,48462.12,0.15,8,65.6,Bachelor's,Male
61.4,36299.89,0.22,10.4,68.9,Bachelor's,Non-binary
20,22774.99,0.26,20.3,78.7,Master's,Male
37.5,51444.81,0.34,6.7,78.1,Master's,Female
39.7,53177.88,0.36,8.9,82.1,Master's,Male
45.9,1862.08,0.14,6.5,50.6,High School,Female
36,1376.51,0.11,10.5,59.6,High School,Male
38.1,34235.32,0.22,6,77.9,Master's,Non-binary
31.1,203042.17,0.2,16.3,78.9,Master's,Male
37.7,15783.66,0.41,32.3,87.7,PhD,Male
31.6,37975.25,0.23,18,66.8,Bachelor's,Male
41.2,18354.49,0.07,8.5,54,High School,Male
31.3,26059.38,0.35,6.4,82.4,Master's,Female
38.8,72908.55,0.12,19.1,54,High School,Male
34.7,20595.88,0.5,15.9,78.3,PhD,Female
46.3,46304.88,0.27,36.1,77.7,Master's,Male
34.5,20799.57,0.24,18.3,58.4,Bachelor's,Male
17.3,80428.23,0.36,6.5,84.6,Master's,Female
47.6,25277.65,0.36,16.8,79.1,Master's,Female
25.9,23425.64,0.12,25.6,53.7,High School,Male
28.5,6314.9,0.43,21.2,89.4,PhD,Male
29,28726.76,0.21,13.3,65.5,Bachelor's,Male
48.7,77491.42,0.31,4.8,82,Master's,Female
13.6,5522.97,0.12,8.1,51.5,High School,Female
66.4,191716.85,0.31,22.2,69.6,Master's,Male
45.6,4649.34,0.09,3.6,58,High School,Female
37.2,29231.53,0.11,4.1,50.3,High School,Female
34.5,104190.51,0.47,11.5,77.6,PhD,Female
37.9,16727.12,0.06,15.1,58.5,High School,Female
40.2,3051.13,0.08,26,48.4,High School,Male
41.5,76965.81,0.52,12.9,91,PhD,Male
40.6,244503.57,0.37,24.5,83.7,PhD,Male
35.9,27010.9,0.12,22.1,71.4,Bachelor's,Male
33,24526.91,0.2,4.7,72.5,Bachelor's,Female
33.5,62447.04,0.2,7.6,62.5,Bachelor's,Female
33.1,73444,0.12,32.6,48.2,High School,Male
46.3,1302.56,0.12,7.2,55.8,High School,Male
40.9,17311.07,0.18,18.2,65.4,Bachelor's,Male
5.6,26746.29,0.32,18.7,81.4,Master's,Female
41.6,109250.23,0.38,24,74.9,Master's,Male
36.9,61525.48,0.32,9.6,81.5,Master's,Female
34.8,16150.19,0.1,12.8,49.4,High School,Male
31.1,78511.22,0.13,6,70.4,Bachelor's,Male
46.2,11462.75,0.12,11.4,56.8,High School,Non-binary
44.5,17047.27,0.24,24,63.2,Bachelor's,Non-binary
27.3,33499.3,0.15,23.1,69.9,Bachelor's,Male
39.1,28697.22,0.38,1.6,77.8,Master's,Non-binary
25.3,12876.52,0.12,8.1,64.6,High School,Female
21.2,4319.78,0.1,7.5,56.5,High School,Female
28.7,1868.37,0.06,27,52.1,High School,Male
43.6,39369.04,0.35,2.5,77.6,Master's,Female
44.5,41276.6,0.12,3.9,74.7,Bachelor's,Male
40.1,4869.84,0.09,2,54.1,High School,Female
42.3,14307.91,0.11,18.4,50.1,High School,Male
40.2,9470.77,0.27,6.5,75.5,Master's,Male
28.6,34919.62,0.15,37.5,56.1,High School,Male
39.3,67584.31,0.26,10,84.1,Master's,Female
43,51085.61,0.3,23.8,76.1,Master's,Male
42.5,41368.04,0.06,8.2,50.4,High School,Female
46.9,48791.2,0.11,13.3,51.9,High School,Non-binary
42.1,229304.42,0.46,17,80.1,PhD,Male
38.5,1678.3,0.05,18.2,60.5,High School,Female
45.7,1993.73,0.12,32.8,48.5,High School,Male
34.7,48005.03,0.23,9.3,78,Master's,Female
26.2,254269.48,0.48,30.3,90.7,PhD,Male
33.4,78148.11,0.38,6.1,88.1,PhD,Female
27.6,20051.16,0.24,11.9,84.5,Master's,Female
28.2,10284.07,0.07,9.8,54.6,High School,Female
33.6,10114.55,0.06,20.4,54,High School,Female
27.1,19704.75,0.23,9.5,78.4,Master's,Male
31.9,26667.71,0.1,1.9,75.9,Bachelor's,Female
16.1,18888.82,0.22,14.7,70.3,Bachelor's,Female
37.1,195559.26,0.43,13.3,81.6,PhD,Female
35,3444.46,0.14,23.6,55.7,High School,Male
26.8,14451.84,0.24,5.7,71.7,Bachelor's,Female
41.6,6459.61,0.12,12,57.6,High School,Female
44.4,2109.45,0.16,5.8,73.2,Bachelor's,Female
18.9,8714.65,0.15,20.3,59.8,High School,Male
27.4,9121.6,0.14,4.5,53,High School,Female
27.3,70811.87,0.07,12.6,52.6,High School,Male
25.6,29985.05,0.17,11.6,75.7,Bachelor's,Female
43.3,21772.79,0.21,11.9,74.9,Master's,Male
33.1,14022.1,0.16,2.4,69.6,Bachelor's,Female
32.4,87540.61,0.53,6.1,91.7,PhD,Non-binary
15,13045.94,0.12,14.5,59,High School,Male
41.4,14049.3,0.05,16.3,53.9,High School,Non-binary
22.6,38577.98,0.4,14.8,80.4,Master's,Male
35.6,11152.73,0.14,11.2,60.4,High School,Female
37.8,159823.77,0.44,8,86.5,PhD,Female
48.6,7805.49,0.15,10.9,51.9,High School,Female
21.9,63830.37,0.43,14.5,84.9,PhD,Female
4.8,3650.39,0.13,9,47.6,High School,Female
36.8,53235.82,0.37,12.1,80.4,Master's,Male
53,10273.47,0.12,11.9,69.4,Bachelor's,Male
47.4,20647.96,0.38,6.4,91,PhD,Female
37.1,44994.42,0.08,21.1,49.7,High School,Female
30.1,70966.19,0.17,11.1,69.8,Bachelor's,Female
43.1,329384.08,0.36,3.2,81.1,PhD,Female
25.3,9778.1,0.11,3,73.9,Bachelor's,Male
39.8,47659.88,0.12,7.9,64.8,Bachelor's,Female
40.1,1319.08,0.22,2.1,77.7,Bachelor's,Male
45.6,45920.71,0.23,7.5,63.2,Bachelor's,Female
62.6,23663.99,0.23,30,80.6,Bachelor's,Male
38.9,19641.44,0.19,32.3,70,Bachelor's,Male
29.9,72358.35,0.41,35.7,87.2,PhD,Male
34.7,3698.42,0.11,11.5,52.3,High School,Male
17.3,107513.03,0.06,9.3,48.7,High School,Female
28.1,10341.76,0.38,15.2,78.2,PhD,Male
30.9,31959.14,0.22,12,80.3,Master's,Male
29.8,163101.88,0.24,12.8,73.4,Bachelor's,Male
36.5,297.75,0.22,34.4,70.6,Bachelor's,Male
26.8,2298.45,0.07,36,53.7,High School,Male
46.2,7149.84,0.09,21.7,55.1,High School,Male
35,42275.44,0.25,5.8,78,Bachelor's,Female
34.9,8324.46,0.07,19.5,64.1,High School,Female
31.7,61423.45,0.17,9.6,71,Bachelor's,Female
36.6,28496.29,0.1,43.1,48.9,High School,Male
43.3,113406.55,0.42,24.3,83.4,PhD,Male
