ID,Sexo,Edad,Do you know digital technologies for learning?,Do you know what is an emerging technology for learning?,Do you know the types of emerging technologies for learning?,How would you rate your ability to learn how to use a technology you have never used before?,What level of importance do you consider the use of ETs for academic learning?,Do you use or have you used an ET to support your education?,Would you like to learn with ET support?,Do you think that with the help of ET you can improve a person's academic performance?,"Do you think that in the future, with the advancement of technology, ET will be indispensable in the classroom?",Do you agree that ET should be used as a learning tool during class time?,Do you think that ETs are a tool that supports learning?,Do you think that using ET can improve your learning?,Do you think it is easy to use ET to learn? ,Do you think it is easy to learn how to use a TE and use it in education?,Does any teacher or person of authority encourage the use of ET for learning? ,Does any close relative believe that you can learn using ET?,Is it easy to download documentation on the use of ET for learning?,Do you think it would be easy to use ET in education for learning?,Is it fun to use ET for learning?,Do I enjoy learning much more if I involve some ET in the process?
34,Male,18,3,4,3,3,5,3,3,4,3,3,4,5,3,2,5,2,3,3,4,5
94,Male,18,4,3,4,5,4,4,3,3,4,3,3,4,3,4,4,2,2,4,5,2
43,Male,18,3,3,3,3,2,5,3,4,5,3,5,5,4,5,2,3,2,3,4,4
28,Male,18,4,3,2,3,5,5,4,4,3,2,5,3,3,4,5,3,4,2,5,3
51,Male,18,5,4,5,4,3,2,2,3,3,4,5,3,3,4,5,3,2,2,5,5
52,Male,18,5,3,3,4,5,4,4,3,3,3,4,3,2,5,3,5,4,2,3,4
98,Male,18,4,4,5,4,5,3,2,3,4,3,4,4,5,4,2,2,5,3,2,4
14,Female,18,5,4,2,5,4,4,3,5,4,2,5,4,5,2,3,3,3,4,3,3
95,Male,18,3,3,2,5,4,5,4,3,4,2,3,4,3,5,4,5,5,3,3,3
58,Male,18,4,4,3,4,5,2,3,5,4,4,3,5,5,4,3,1,3,5,3,5
8,Male,18,4,4,3,3,4,3,3,3,5,5,3,4,5,3,3,4,5,5,2,5
44,Male,18,5,4,4,4,4,4,5,3,5,3,5,4,4,5,3,2,2,3,3,4
49,Male,18,5,4,2,4,4,3,4,5,4,3,5,5,3,4,5,2,4,3,3,4
108,Male,18,5,4,3,4,4,4,4,4,4,4,3,4,4,3,4,5,3,4,3,3
48,Male,18,3,3,2,4,5,4,3,5,3,3,5,3,4,5,5,4,3,4,5,4
50,Male,18,4,5,3,4,4,5,5,5,5,3,3,3,3,4,4,3,2,4,5,3
45,Male,18,5,4,3,4,5,5,5,4,4,5,4,5,4,3,3,2,3,2,4,3
45,Male,18,5,4,4,3,4,4,4,5,5,4,3,4,3,3,5,4,3,3,5,3
83,Male,18,3,4,3,3,4,3,4,5,4,2,3,5,3,4,5,5,4,5,5,4
53,Male,18,4,3,5,4,3,3,4,4,5,4,3,5,5,5,2,3,4,3,5,5
99,Male,18,5,4,5,4,5,5,5,5,2,2,3,3,4,4,4,3,3,4,5,4
105,Male,18,5,5,3,5,4,4,4,4,4,2,4,2,3,2,5,5,5,4,5,4
1,Male,18,5,5,4,5,4,4,4,5,4,3,5,5,3,3,2,5,3,5,4,3
59,Male,18,3,4,3,3,4,4,4,3,4,4,5,4,4,5,5,5,4,5,5,3
105,Male,18,5,5,3,4,5,4,4,5,3,4,4,5,5,4,3,2,5,4,5,4
54,Male,19,1,2,2,4,1,2,2,4,1,2,5,1,4,2,2,2,3,3,2,2
81,Female,19,1,2,2,4,2,2,3,4,4,2,1,3,4,1,1,2,2,3,4,2
94,Male,19,2,1,2,3,4,2,4,2,1,2,3,4,4,2,1,1,3,3,4,2
41,Male,19,2,3,2,2,4,2,4,3,3,3,3,3,3,2,2,2,4,2,3,3
45,Male,19,2,1,2,2,4,3,2,4,4,3,4,3,3,3,2,2,2,3,4,3
93,Male,19,2,3,3,3,2,2,4,3,3,2,4,2,3,2,3,3,1,3,4,4
111,Male,19,1,1,2,4,4,4,3,4,4,2,3,4,4,2,1,4,2,3,3,2
91,Male,19,3,4,4,4,3,4,2,3,3,2,1,3,5,1,3,2,4,4,5,3
3,Male,19,4,3,3,3,5,3,3,4,4,3,4,3,2,3,2,2,3,3,4,3
2,Male,19,3,3,2,3,3,3,5,3,4,3,4,5,3,2,2,3,3,4,3,5
44,Male,19,3,4,3,3,2,4,1,4,4,1,4,3,3,5,5,5,2,1,5,4
89,Male,19,4,5,3,4,5,2,4,4,3,3,3,3,3,3,1,4,4,4,3,2
51,Male,19,3,3,3,2,2,2,4,4,5,4,5,5,3,4,3,3,3,2,5,3
48,Male,19,3,5,3,2,3,4,5,4,4,3,2,3,3,2,5,3,3,2,5,5
101,Male,19,4,4,5,4,2,4,4,3,5,4,5,3,3,3,3,3,3,2,2,4
5,Male,19,3,4,4,4,4,4,3,3,3,1,3,5,4,3,5,1,3,4,5,5
52,Male,19,3,4,4,3,4,5,4,4,4,3,3,5,3,4,4,3,2,3,3,3
104,Male,19,4,3,3,5,5,4,4,4,2,3,4,4,3,3,4,3,3,4,3,4
5,Male,19,3,4,4,3,4,5,3,4,5,2,4,4,3,3,5,3,5,3,3,3
84,Male,19,4,4,4,2,5,3,4,5,5,3,4,4,3,3,2,4,3,5,4,3
109,Male,19,5,4,4,4,3,5,2,4,5,3,3,5,5,2,3,3,5,4,3,2
19,Male,19,5,4,5,4,3,3,4,4,4,3,4,3,3,3,5,3,2,4,4,5
54,Male,19,4,4,4,5,5,5,2,3,3,4,3,4,5,4,4,1,5,3,4,3
13,Male,19,3,4,2,5,4,3,4,3,4,3,3,5,5,5,3,4,4,4,4,4
44,Male,19,4,5,4,5,4,5,4,2,3,4,4,4,5,2,5,3,3,3,3,4
15,Male,19,5,3,3,5,3,2,3,5,4,4,5,4,3,4,3,4,5,4,3,5
18,Male,19,4,5,5,4,2,4,3,4,4,2,5,3,3,4,3,5,5,4,3,5
29,Male,19,5,5,3,5,3,5,3,3,5,5,4,3,4,4,3,4,3,3,5,2
85,Male,19,4,5,5,4,4,4,3,4,3,3,4,3,3,4,5,4,5,4,5,1
102,Male,19,3,4,4,4,4,5,4,5,5,2,5,5,4,4,2,2,2,4,4,5
43,Female,19,4,5,3,5,3,5,4,3,5,4,3,5,3,3,2,4,4,5,4,4
42,Male,20,5,4,4,3,3,4,4,4,3,5,3,3,4,3,3,5,5,5,4,4
25,Male,20,5,4,3,5,3,5,4,3,5,3,4,3,3,3,5,3,5,3,5,5
32,Male,20,5,4,5,3,3,3,5,5,3,4,5,4,5,2,3,2,5,5,4,4
85,Female,20,5,4,3,5,4,2,4,5,4,5,4,4,5,4,5,3,2,4,3,4
80,Male,20,5,5,4,3,5,5,4,5,4,3,5,4,4,5,2,2,3,5,3,4
104,Male,20,5,5,3,4,5,5,4,2,3,5,4,4,5,4,3,2,5,4,4,4
33,Male,20,5,4,3,5,5,3,5,4,5,4,5,3,4,2,3,3,5,4,4,5
88,Male,20,5,5,4,4,5,4,5,4,5,4,4,3,5,4,3,3,4,4,3,5
115,Male,20,1,2,2,3,2,2,3,3,2,2,4,2,3,4,2,3,2,3,2,3
40,Male,20,1,3,3,3,2,1,4,4,3,2,3,2,3,3,1,3,4,2,4,2
38,Male,20,1,2,3,4,3,3,2,2,4,3,3,3,5,3,1,2,3,4,3,2
12,Male,20,1,3,2,3,4,2,4,2,4,2,2,5,3,3,2,2,4,4,2,3
92,Male,20,1,2,3,4,1,4,4,2,3,2,4,3,3,3,1,3,3,3,3,5
22,Male,20,2,3,3,1,4,3,1,4,5,4,3,3,3,2,1,2,2,3,5,4
120,Male,20,3,2,3,3,4,4,5,4,4,3,3,2,3,4,2,2,2,3,2,3
24,Male,20,1,2,3,3,4,3,4,3,3,3,4,4,3,4,2,3,3,3,3,4
41,Male,20,3,2,2,3,4,4,2,4,3,3,5,5,4,5,2,3,2,3,2,4
39,Female,20,3,3,3,4,3,3,5,3,3,3,3,5,3,2,5,1,4,3,4,3
115,Male,20,5,5,4,3,3,3,3,5,3,2,4,2,3,3,3,3,4,3,4,4
23,Male,20,3,5,4,3,4,3,5,3,3,3,3,5,3,2,2,3,3,5,3,5
35,Male,20,3,3,2,4,5,3,3,4,5,5,3,5,5,2,2,3,3,4,4,2
34,Male,20,5,4,3,5,3,4,5,4,3,4,4,5,3,3,3,2,2,4,3,4
114,Male,20,4,5,3,3,5,4,3,5,2,5,5,3,3,5,3,2,3,3,4,4
118,Male,20,5,5,3,4,4,5,4,4,5,2,4,3,3,3,3,4,2,3,3,5
119,Male,20,4,4,3,3,4,5,3,4,5,5,4,3,5,2,3,3,4,4,3,4
50,Male,20,4,4,3,4,5,5,5,2,4,3,5,3,4,4,3,3,5,4,4,3
11,Male,20,5,4,3,4,4,3,4,5,4,4,5,3,5,5,2,3,4,4,4,3
24,Male,20,5,4,3,5,3,3,4,3,5,2,3,5,3,3,5,5,4,5,3,5
25,Male,20,4,5,2,2,5,5,4,3,5,5,5,4,5,2,4,5,4,2,4,4
42,Male,20,3,4,5,4,4,5,4,4,5,3,4,3,3,4,5,4,4,3,5,5
40,Male,20,5,5,5,5,5,5,2,4,5,4,3,5,4,3,5,5,4,3,3,4
10,Female,21,2,1,2,3,3,4,3,3,4,2,3,3,3,3,1,1,2,2,3,3
54,Male,21,2,3,1,1,4,2,1,1,4,4,4,4,2,2,2,2,3,2,4,4
113,Male,21,2,3,2,2,4,2,3,3,2,2,5,2,3,2,1,2,4,4,3,2
114,Male,21,2,1,2,3,4,3,3,3,2,3,2,2,3,2,3,3,2,4,4,3
14,Male,21,2,3,2,2,2,3,3,3,4,3,3,3,2,4,2,2,3,4,3,2
54,Male,21,2,1,2,4,3,3,2,3,3,4,2,4,3,1,2,4,3,3,3,4
82,Male,21,2,2,4,3,4,3,4,3,4,2,3,4,3,2,2,3,2,1,3,3
31,Male,21,3,4,3,3,5,5,3,5,3,4,4,3,3,2,2,3,3,2,4,4
110,Male,21,3,3,3,4,4,4,2,3,3,4,2,3,5,3,3,5,5,3,3,3
35,Male,21,4,3,3,2,3,3,3,4,3,4,4,3,5,2,2,5,5,4,2,5
55,Male,21,3,4,3,4,5,5,4,1,3,4,5,3,5,4,2,2,2,2,4,5
44,Male,21,5,3,3,3,5,2,2,4,4,2,5,5,2,5,2,3,2,4,4,5
21,Male,21,4,5,3,4,3,3,5,4,3,3,4,3,3,2,2,4,3,5,5,3
59,Male,21,3,4,3,4,4,5,4,4,3,4,2,3,4,4,4,5,4,1,3,5
15,Male,21,5,5,3,4,3,5,3,3,4,4,3,3,5,3,5,2,5,4,3,3
49,Male,21,5,4,4,5,5,4,3,5,4,2,4,5,3,4,5,2,3,4,3,5
45,Female,21,5,4,3,5,5,4,5,3,3,3,3,4,4,5,5,4,4,5,5,4
